,Start_Time,Total_Accidents
1100,2019-01-18,70
1101,2019-01-19,68
1102,2019-01-20,51
1103,2019-01-21,111
1104,2019-01-22,107
1105,2019-01-23,87
1106,2019-01-24,88
1107,2019-01-25,115
1108,2019-01-26,69
1109,2019-01-27,56
1110,2019-01-28,113
1111,2019-01-29,110
1112,2019-01-30,88
1113,2019-01-31,104
1114,2019-02-01,85
1115,2019-02-02,77
1116,2019-02-03,58
1117,2019-02-04,87
1118,2019-02-05,99
1119,2019-02-06,104
1120,2019-02-07,100
1121,2019-02-08,82
1122,2019-02-09,62
1123,2019-02-10,89
1124,2019-02-11,122
1125,2019-02-12,123
1126,2019-02-13,95
1127,2019-02-14,54
1128,2019-02-15,97
1129,2019-02-16,56
1130,2019-02-17,91
1131,2019-02-18,89
1132,2019-02-19,74
1133,2019-02-20,95
1134,2019-02-21,92
1135,2019-02-22,100
1136,2019-02-23,56
1137,2019-02-24,85
1138,2019-02-25,99
1139,2019-02-26,98
1140,2019-02-27,96
1141,2019-02-28,85
1142,2019-03-01,93
1143,2019-03-02,52
1144,2019-03-03,115
1145,2019-03-04,90
1146,2019-03-05,95
1147,2019-03-06,81
1148,2019-03-07,68
1149,2019-03-08,86
1150,2019-03-09,79
1151,2019-03-10,62
1152,2019-03-11,108
1153,2019-03-12,76
1154,2019-03-13,93
1155,2019-03-14,83
1156,2019-03-15,103
1157,2019-03-16,63
1158,2019-03-17,64
1159,2019-03-18,99
1160,2019-03-19,105
1161,2019-03-20,84
1162,2019-03-21,64
1163,2019-03-22,80
1164,2019-03-23,54
1165,2019-03-24,53
1166,2019-03-25,78
1167,2019-03-26,93
1168,2019-03-27,94
1169,2019-03-28,66
1170,2019-03-29,89
1171,2019-03-30,63
1172,2019-03-31,64
1173,2019-04-01,77
1174,2019-04-02,91
1175,2019-04-03,73
1176,2019-04-04,90
1177,2019-04-05,81
1178,2019-04-06,42
1179,2019-04-07,60
1180,2019-04-08,94
1181,2019-04-09,93
1182,2019-04-10,109
1183,2019-04-11,106
1184,2019-04-12,69
1185,2019-04-13,69
1186,2019-04-14,59
1187,2019-04-15,80
1188,2019-04-16,78
1189,2019-04-17,76
1190,2019-04-18,78
1191,2019-04-19,107
1192,2019-04-20,63
1193,2019-04-21,42
1194,2019-04-22,127
1195,2019-04-23,106
1196,2019-04-24,72
1197,2019-04-25,115
1198,2019-04-26,102
1199,2019-04-27,57
1200,2019-04-28,60
1201,2019-04-29,76
1202,2019-04-30,114
1203,2019-05-01,84
1204,2019-05-02,115
1205,2019-05-03,90
1206,2019-05-04,93
1207,2019-05-05,76
1208,2019-05-06,71
1209,2019-05-07,96
1210,2019-05-08,94
1211,2019-05-09,92
1212,2019-05-10,70
1213,2019-05-11,64
1214,2019-05-12,75
1215,2019-05-13,88
1216,2019-05-14,95
1217,2019-05-15,88
1218,2019-05-16,122
1219,2019-05-17,83
1220,2019-05-18,56
1221,2019-05-19,73
1222,2019-05-20,72
1223,2019-05-21,83
1224,2019-05-22,96
1225,2019-05-23,82
1226,2019-05-24,120
1227,2019-05-25,49
1228,2019-05-26,69
1229,2019-05-27,72
1230,2019-05-28,85
1231,2019-05-29,112
1232,2019-05-30,72
1233,2019-05-31,102
1234,2019-06-01,78
1235,2019-06-02,76
1236,2019-06-03,80
1237,2019-06-04,74
1238,2019-06-05,83
1239,2019-06-06,90
1240,2019-06-07,94
1241,2019-06-08,61
1242,2019-06-09,90
1243,2019-06-10,65
1244,2019-06-11,74
1245,2019-06-12,78
1246,2019-06-13,83
1247,2019-06-14,105
1248,2019-06-15,69
1249,2019-06-16,42
1250,2019-06-17,77
1251,2019-06-18,72
1252,2019-06-19,99
1253,2019-06-20,104
1254,2019-06-21,100
1255,2019-06-22,54
1256,2019-06-23,47
1257,2019-06-24,115
1258,2019-06-25,101
1259,2019-06-26,90
1260,2019-06-27,56
1261,2019-06-28,66
1262,2019-06-29,52
1263,2019-06-30,60
1264,2019-07-01,95
1265,2019-07-02,73
1266,2019-07-03,100
1267,2019-07-04,54
1268,2019-07-05,102
1269,2019-07-06,61
1270,2019-07-07,83
1271,2019-07-08,93
1272,2019-07-09,46
1273,2019-07-10,63
1274,2019-07-11,77
1275,2019-07-12,89
1276,2019-07-13,53
1277,2019-07-14,70
1278,2019-07-15,75
1279,2019-07-16,76
1280,2019-07-17,107
1281,2019-07-18,76
1282,2019-07-19,90
1283,2019-07-20,67
1284,2019-07-21,91
1285,2019-07-22,81
1286,2019-07-23,91
1287,2019-07-24,94
1288,2019-07-25,80
1289,2019-07-26,80
1290,2019-07-27,60
1291,2019-07-28,55
1292,2019-07-29,94
1293,2019-07-30,72
1294,2019-07-31,110
1295,2019-08-01,100
1296,2019-08-02,99
1297,2019-08-03,40
1298,2019-08-04,65
1299,2019-08-05,103
1300,2019-08-06,68
1301,2019-08-07,86
1302,2019-08-08,85
1303,2019-08-09,67
1304,2019-08-10,71
1305,2019-08-11,77
1306,2019-08-12,76
1307,2019-08-13,62
1308,2019-08-14,96
1309,2019-08-15,84
1310,2019-08-16,82
1311,2019-08-17,46
1312,2019-08-18,63
1313,2019-08-19,82
1314,2019-08-20,88
1315,2019-08-21,71
1316,2019-08-22,81
1317,2019-08-23,58
1318,2019-08-24,0
1319,2019-08-25,34
1320,2019-08-26,123
1321,2019-08-27,96
1322,2019-08-28,70
1323,2019-08-29,94
1324,2019-08-30,92
1325,2019-08-31,70
1326,2019-09-01,51
1327,2019-09-02,88
1328,2019-09-03,91
1329,2019-09-04,52
